CustomerID,CustomerName,Address,City,PostalCode
1,"Alfreds Futterkiste","Obere Str. 57",Berlin,12209
2,"Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.",05021
3,"Antonio Moreno Taquería","Mataderos 2312","México D.F.",05023
4,"Around the Horn","120 Hanover Sq.",London,"WA1 1DP"
5,"Berglunds snabbköp","Berguvsvägen 8","Luleå","S-958 22"
6,"Blauer See Delikatessen","Forsterstr. 57",Mannheim,68306
7,"Blondel père et fils","24  place Kléber",Strasbourg,67000
8,"Bólido Comidas preparadas","C/ Araquil  67",Madrid,28023
9,"Bon app'","12  rue des Bouchers",Marseille,13008
10,"Bottom-Dollar Marketse","23 Tsawassen Blvd.",Tsawassen,"T2F 8M4"
11,"B's Beverages","Fauntleroy Circus",London,"EC2 5NT"
12,"Cactus Comidas para llevar","Cerrito 333","Buenos Aires",1010
13,"Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.",05022
14,"Chop-suey Chinese","Hauptstr. 29",Bern,3012
15,"Comércio Mineiro","Av. dos Lusíadas  23","São Paulo",05432-043
16,"Consolidated Holdings","Berkeley Gardens 12 Brewery ",London,"WX1 6LT"
17,"Drachenblut Delikatessend","Walserweg 21",Aachen,52066
18,"Du monde entier","67  rue des Cinquante Otages",Nantes,44000
19,"Eastern Connection","35 King George",London,"WX3 6FW"
20,"Ernst Handel","Kirchgasse 6",Graz,8010
21,"Familia Arquibaldo","Rua Orós  92","São Paulo",05442-030
22,"FISSA Fabrica Inter. Salchichas S.A.","C/ Moralzarzal  86",Madrid,28034
23,"Folies gourmandes","184  chaussée de Tournai",Lille,59000
24,"Folk och fä HB","Åkergatan 24","Bräcke","S-844 67"
25,Frankenversand,"Berliner Platz 43","München",80805
26,"France restauration","54  rue Royale",Nantes,44000
27,"Franchi S.p.A.","Via Monte Bianco 34",Torino,10100
28,"Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32",Lisboa,1675
29,"Galería del gastrónomo","Rambla de Cataluña  23",Barcelona,08022
30,"Godos Cocina Típica","C/ Romero  33",Sevilla,41101
31,"Gourmet Lanchonetes","Av. Brasil  442",Campinas,04876-786
32,"Great Lakes Food Market","2732 Baker Blvd.",Eugene,97403
33,GROSELLA-Restaurante,"5ª Ave. Los Palos Grandes",Caracas,1081
34,"Hanari Carnes","Rua do Paço  67","Rio de Janeiro",05454-876
35,"HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal",5022
36,"Hungry Coyote Import Store","City Center Plaza 516 Main St.",Elgin,97827
37,"Hungry Owl All-Night Grocers","8 Johnstown Road",Cork,""
38,"Island Trading","Garden House Crowther Way",Cowes,"PO31 7PJ"
39,"Königlich Essen","Maubelstr. 90",Brandenburg,14776
40,"La corne d'abondance","67  avenue de l'Europe",Versailles,78000
41,"La maison d'Asie","1 rue Alsace-Lorraine",Toulouse,31000
42,"Laughing Bacchus Wine Cellars","1900 Oak St.",Vancouver,"V3F 2K1"
43,"Lazy K Kountry Store","12 Orchestra Terrace","Walla Walla",99362
44,"Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M. ",60528
45,"Let's Stop N Shop","87 Polk St. Suite 5","San Francisco",94117
46,LILA-Supermercado,"Carrera 52 con Ave. Bolívar #65-98 Llano Largo",Barquisimeto,3508
47,LINO-Delicateses,"Ave. 5 de Mayo Porlamar","I. de Margarita",4980
48,"Lonesome Pine Restaurant","89 Chiaroscuro Rd.",Portland,97219
49,"Magazzini Alimentari Riuniti","Via Ludovico il Moro 22",Bergamo,24100
50,"Maison Dewey","Rue Joseph-Bens 532",Bruxelles,B-1180
51,"Mère Paillarde","43 rue St. Laurent","Montréal","H1J 1C3"
52,"Morgenstern Gesundkost","Heerstr. 22",Leipzig,04179
53,North/South,"South House 300 Queensbridge",London,"SW7 1RZ"
54,"Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585 Piso 20-A","Buenos Aires",1010
55,"Old World Delicatessen","2743 Bering St.",Anchorage,99508
