# ----------------------------------------
# 1 Master View
# 잠재고객 개요
# 20180101-20180417
# ----------------------------------------

일 색인,기간,분류,사용자
18. 1. 1.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,448"
18. 1. 1.,2018. 1. 1 - 2018. 4. 17,재사용자,441
18. 1. 2.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,162"
18. 1. 2.,2018. 1. 1 - 2018. 4. 17,재사용자,861
18. 1. 3.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,118"
18. 1. 3.,2018. 1. 1 - 2018. 4. 17,재사용자,760
18. 1. 4.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,122"
18. 1. 4.,2018. 1. 1 - 2018. 4. 17,재사용자,731
18. 1. 5.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,967"
18. 1. 5.,2018. 1. 1 - 2018. 4. 17,재사용자,676
18. 1. 6.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,548"
18. 1. 6.,2018. 1. 1 - 2018. 4. 17,재사용자,395
18. 1. 7.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,672"
18. 1. 7.,2018. 1. 1 - 2018. 4. 17,재사용자,444
18. 1. 8.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,080"
18. 1. 8.,2018. 1. 1 - 2018. 4. 17,재사용자,775
18. 1. 9.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,500"
18. 1. 9.,2018. 1. 1 - 2018. 4. 17,재사용자,774
18. 1. 10.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,453"
18. 1. 10.,2018. 1. 1 - 2018. 4. 17,재사용자,766
18. 1. 11.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,244"
18. 1. 11.,2018. 1. 1 - 2018. 4. 17,재사용자,725
18. 1. 12.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,139"
18. 1. 12.,2018. 1. 1 - 2018. 4. 17,재사용자,677
18. 1. 13.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,757"
18. 1. 13.,2018. 1. 1 - 2018. 4. 17,재사용자,404
18. 1. 14.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,780"
18. 1. 14.,2018. 1. 1 - 2018. 4. 17,재사용자,464
18. 1. 15.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,446"
18. 1. 15.,2018. 1. 1 - 2018. 4. 17,재사용자,637
18. 1. 16.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,400"
18. 1. 16.,2018. 1. 1 - 2018. 4. 17,재사용자,877
18. 1. 17.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,339"
18. 1. 17.,2018. 1. 1 - 2018. 4. 17,재사용자,788
18. 1. 18.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,125"
18. 1. 18.,2018. 1. 1 - 2018. 4. 17,재사용자,704
18. 1. 19.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,091"
18. 1. 19.,2018. 1. 1 - 2018. 4. 17,재사용자,710
18. 1. 20.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,652"
18. 1. 20.,2018. 1. 1 - 2018. 4. 17,재사용자,398
18. 1. 21.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,657"
18. 1. 21.,2018. 1. 1 - 2018. 4. 17,재사용자,435
18. 1. 22.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,242"
18. 1. 22.,2018. 1. 1 - 2018. 4. 17,재사용자,777
18. 1. 23.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,164"
18. 1. 23.,2018. 1. 1 - 2018. 4. 17,재사용자,771
18. 1. 24.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,231"
18. 1. 24.,2018. 1. 1 - 2018. 4. 17,재사용자,737
18. 1. 25.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,621"
18. 1. 25.,2018. 1. 1 - 2018. 4. 17,재사용자,891
18. 1. 26.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,988"
18. 1. 26.,2018. 1. 1 - 2018. 4. 17,재사용자,693
18. 1. 27.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,682"
18. 1. 27.,2018. 1. 1 - 2018. 4. 17,재사용자,417
18. 1. 28.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,756"
